,spotify_id,name,followers,popularity,genres,chart_hits
3909,1gBUSTR3TyDdTVFIaQnc02,NCT DREAM,74.0,72,"['k-pop', 'k-pop boy group']","['hk (3)', 'id (24)', 'jp (2)', 'my (12)', 'ph (2)', 'sg (8)', 'kr (31)', 'tw (8)', 'th (33)', 'vn (6)']"
11121,41X1TR6hrK8Q2ZCpp2EqCz,bbno$,1103591.0,72,"['canadian hip hop', 'dark trap', 'vapor trap']","['us (1)', 'au (1)', 'at (1)', 'bg (1)', 'ca (4)', 'cy (1)', 'cz (1)', 'dk (1)', 'ee (2)', 'fi (2)', 'de (1)', 'hk (1)', 'hu (1)', 'is (1)', 'id (1)', 'ie (1)', 'lv (2)', 'lt (2)', 'lu (1)', 'my (1)', 'nz (1)', 'no (1)', 'ph (1)', 'ro (1)', 'sa (1)', 'sg (1)', 'sk (1)', 'kr (1)', 'ch (1)', 'tw (1)', 'ua (1)', 'ae (1)', 'vn (1)']"
424,4KWTAlx2RvbpseOGMEmROg,R.E.M.,3671605.0,72,"['alternative rock', 'athens indie', 'permanent wave', 'pop rock', 'rock']","['ar (1)', 'au (1)', 'be (1)', 'cr (1)', 'nz (1)', 'pe (1)', 'pl (1)', 'es (2)', 'tr (1)']"
18019,2VZNmg4vCnew4Pavo8zDdW,Max Richter,795315.0,72,"['compositional ambient', 'post-minimalism']",['vn (1)']
6949,4boI7bJtmB1L3b1cuL75Zr,Mon Laferte,4810547.0,72,['latin alternative'],"['ar (1)', 'bo (4)', 'cl (27)', 'ec (3)', 'gt (2)', 'hn (1)', 'mt (1)', 'mx (8)', 'ni (1)', 'pe (5)', 'uy (2)']"
1156,3oDbviiivRWhXwIE8hxkVV,The Beach Boys,3805849.0,72,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']","['us (1)', 'gb (1)', 'au (1)', 'at (2)', 'be (1)', 'ca (1)', 'cy (1)', 'cz (1)', 'ee (1)', 'gr (1)', 'hu (1)', 'is (1)', 'ie (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'mt (1)', 'nz (1)', 'pl (1)', 'sk (1)']"
12356,6fxyWrfmjcbj5d12gXeiNV,Denzel Curry,1893142.0,72,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'rap', 'underground hip hop']","['us (2)', 'au (2)', 'at (1)', 'bg (3)', 'ca (1)', 'ee (1)', 'de (1)', 'gr (1)', 'hu (1)', 'lv (2)', 'nz (1)', 'ro (2)', 'tr (1)']"
10568,28uJnu5EsrGml2tBd7y8ts,Vintage Culture,1668382.0,72,['brazilian edm'],['br (7)']
8335,5ndkK3dpZLKtBklKjxNQwT,B.o.B,1997502.0,72,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']","['us (2)', 'ca (2)', 'cz (2)', 'dk (1)', 'ee (1)', 'gr (2)', 'hk (2)', 'hu (1)', 'lv (2)', 'lt (2)', 'my (2)', 'nl (1)', 'no (1)', 'ph (1)', 'sg (2)', 'sk (2)', 'se (1)', 'tw (2)']"
11148,44mEtidu0VdRkIqO4IbkNa,Marca MP,1417712.0,72,"['corrido', 'corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sierreno']","['sv (1)', 'gt (2)', 'hn (1)', 'mx (4)', 'ni (1)']"
8992,1gBUSTR3TyDdTVFIaQnc02,NCT DREAM,5398388.0,72,"['k-pop', 'k-pop boy group']","['hk (3)', 'id (24)', 'jp (2)', 'my (12)', 'ph (2)', 'sg (8)', 'kr (31)', 'tw (8)', 'th (33)', 'vn (6)']"
16520,20qISvAhX20dpIbOOzGK3q,Nas,2963116.0,72,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']","['us (6)', 'gb (2)', 'au (1)', 'bg (2)', 'ca (5)', 'gr (2)', 'ie (1)', 'ro (2)', 'za (8)']"
2977,5YCc6xS5Gpj3EkaYGdjyNK,WOS,2968844.0,72,"['argentine indie', 'trap argentino']","['ar (29)', 'bo (4)', 'cl (3)', 'co (1)', 'cr (5)', 'ec (3)', 'sv (6)', 'gt (3)', 'hn (2)', 'mx (1)', 'ni (3)', 'pa (2)', 'py (10)', 'pe (3)', 'es (2)', 'uy (27)']"
235,27T030eWyCQRmDyuvr1kxY,Scorpions,5776554.0,72,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']",['cy (4)']
12052,1on7ZQ2pvgeQF4vmIA09x5,Charlie Brown Jr.,5760298.0,72,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",['br (6)']
16219,4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,5392105.0,72,"['contemporary country', 'country', 'country dawn', 'oklahoma country']","['us (5)', 'ca (3)', 'cz (1)', 'ee (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'lv (1)', 'lt (1)', 'my (1)', 'ph (1)', 'sg (1)', 'sk (1)', 'tw (1)']"
111347,4W12lEvVl5wectUtRNrvDh,White Noise Baby Sleep,23949.0,72,['sleep'],
12968,2FKWNmZWDBZR4dE5KX4plR,Diljit Dosanjh,12700629.0,72,"['desi pop', 'filmi', 'modern bollywood', 'punjabi pop']","['ca (2)', 'in (31)', 'ae (1)']"
10377,0AqlFI0tz2DsEoJlKSIiT9,Emilia,913155.0,72,['pop argentino'],"['ar (12)', 'bo (4)', 'cl (2)', 'cr (1)', 'ec (1)', 'pa (2)', 'py (4)', 'pe (3)', 'es (2)', 'uy (15)']"
3883,2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,3961493.0,72,"['k-pop', 'k-pop girl group']","['bg (1)', 'hk (9)', 'id (7)', 'jp (1)', 'my (10)', 'ph (3)', 'ru (5)', 'sa (1)', 'sg (10)', 'kr (10)', 'tw (11)', 'th (10)', 'vn (10)']"
4436,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,4967170.0,72,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']","['be (1)', 'pl (1)', 'ch (1)', 'tw (1)', 'tr (1)']"
14542,7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,6924845.0,72,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","['us (17)', 'gb (5)', 'ar (1)', 'au (6)', 'at (5)', 'be (8)', 'bo (1)', 'br (1)', 'bg (13)', 'ca (13)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (5)', 'cz (6)', 'dk (6)', 'do (2)', 'ec (1)', 'sv (1)', 'ee (8)', 'fi (4)', 'fr (2)', 'de (5)', 'gr (11)', 'gt (2)', 'hn (2)', 'hk (3)', 'hu (8)', 'is (13)', 'id (1)', 'ie (3)', 'il (2)', 'it (1)', 'lv (10)', 'lt (8)', 'lu (7)', 'my (3)', 'mt (8)', 'mx (1)', 'nl (4)', 'nz (7)', 'ni (1)', 'no (7)', 'pa (2)', 'py (1)', 'pe (1)', 'ph (3)', 'pl (6)', 'pt (6)', 'ro (4)', 'sg (5)', 'sk (8)', 'es (1)', 'se (4)', 'ch (9)', 'tw (4)', 'tr (1)', 'uy (1)']"
10367,49bzE5vRBRIota4qeHtQM8,Skillet,4270681.0,72,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock']","['bg (1)', 'cz (1)', 'hu (2)', 'sk (1)']"
8658,25UNJbwGZSQKvz5cPLWlv3,Los Dos Carnales,2162889.0,72,"['corrido', 'musica mexicana', 'norteno', 'nueva musica mexicana']","['do (2)', 'gt (2)', 'hn (1)', 'mx (4)']"
34319,6uJ51uV5rYzu1MJkC4CceI,Interplanetary Criminal,16947.0,72,"['breaks', 'experimental house']",
15193,6IdtcAwaNVAggwd6sCKgTI,Zoé,4360510.0,72,"['latin alternative', 'latin rock', 'mexican rock', 'morelos indie', 'rock en espanol']","['bo (4)', 'co (1)', 'ec (3)', 'sv (1)', 'gt (1)', 'hn (1)', 'mx (18)', 'ni (1)']"
142135,4IndUOBCZYZg61557iq2A9,Maldy,50803.0,72,"['latin hip hop', 'reggaeton', 'reggaeton flow']",
19155,4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,4251746.0,72,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']","['us (1)', 'au (1)', 'be (1)', 'ca (1)', 'cz (1)', 'ie (1)', 'il (1)', 'nz (1)', 'ro (1)', 'es (1)']"
398,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,72985.0,72,"['corrido', 'corridos tumbados', 'musica mexicana', 'nueva musica mexicana']","['sv (1)', 'gt (2)', 'hn (1)', 'mx (2)', 'ni (1)']"
1980,0YinUQ50QDB7ZxSCLyQ40k,Mustard,992953.0,72,"['cali rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']","['us (8)', 'gb (3)', 'au (4)', 'at (1)', 'be (2)', 'bg (4)', 'ca (8)', 'cy (3)', 'cz (1)', 'dk (3)', 'eg (1)', 'ee (3)', 'fi (3)', 'de (1)', 'gr (4)', 'hk (1)', 'hu (2)', 'is (3)', 'in (1)', 'ie (2)', 'il (2)', 'lv (3)', 'lt (3)', 'lu (3)', 'mt (3)', 'ma (2)', 'nl (2)', 'nz (4)', 'no (4)', 'pl (1)', 'pt (2)', 'ro (3)', 'sa (1)', 'sk (2)', 'za (3)', 'se (2)', 'ch (2)', 'ae (3)']"
8639,7F2utINZ6tSokSiZTQBE27,Guè,1982665.0,72,['italian hip hop'],"['it (99)', 'ch (2)']"
1272,0PFtn5NtBbbUNbU9EAmIWF,TOTO,2377859.0,72,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']","['us (1)', 'gb (1)', 'au (1)', 'at (1)', 'be (1)', 'bg (1)', 'ca (1)', 'cy (1)', 'cz (1)', 'dk (1)', 'ee (1)', 'fi (1)', 'de (1)', 'gr (1)', 'hu (1)', 'is (1)', 'ie (1)', 'il (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'mt (1)', 'nl (1)', 'nz (1)', 'no (1)', 'pl (1)', 'sk (1)', 'za (1)', 'se (1)', 'ch (1)']"
3036,4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,534801.0,72,"['hollywood', 'show tunes']",['us (1)']
18357,3HiuzBlSW7pGDXlSFMhO2g,Young Dolph,2188566.0,72,"['gangster rap', 'hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",['us (1)']
15904,59wfkuBoNyhDMQGCljbUbA,Diddy,1355786.0,72,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap']","['us (1)', 'pl (1)']"
8472,3YCKuqpv9nCsIhJ2v8SMix,Elevation Worship,1953138.0,72,"['ccm', 'christian music', 'worship']",['za (5)']
11317,1hzfo8twXdOegF3xireCYs,Milky Chance,1676037.0,72,['german pop'],"['us (1)', 'gb (2)', 'ar (2)', 'au (3)', 'at (6)', 'be (2)', 'bo (1)', 'bg (2)', 'ca (1)', 'cl (1)', 'cz (2)', 'dk (1)', 'ec (1)', 'ee (2)', 'fi (2)', 'fr (1)', 'de (6)', 'gr (2)', 'hu (2)', 'ie (3)', 'it (2)', 'lv (2)', 'lt (2)', 'lu (3)', 'mt (2)', 'mx (2)', 'nl (1)', 'nz (2)', 'no (2)', 'pl (2)', 'pt (1)', 'sk (4)', 'es (1)', 'se (1)', 'ch (6)', 'tr (1)', 'uy (1)']"
7083,6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,2600453.0,72,"['desi pop', 'filmi', 'modern bollywood']",['in (11)']
17085,4EzkuveR9pLvDVFNx6foYD,James Bay,3713415.0,72,"['neo mellow', 'pop', 'uk pop']","['us (2)', 'gb (15)', 'ar (1)', 'au (4)', 'at (4)', 'be (2)', 'bo (1)', 'br (2)', 'bg (3)', 'ca (4)', 'cl (1)', 'co (1)', 'cr (2)', 'cz (2)', 'dk (4)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (5)', 'fi (2)', 'fr (4)', 'de (2)', 'gr (2)', 'gt (2)', 'hn (2)', 'hk (3)', 'hu (5)', 'is (6)', 'in (1)', 'id (1)', 'ie (8)', 'it (4)', 'lv (4)', 'lt (6)', 'lu (2)', 'my (3)', 'mt (4)', 'mx (1)', 'nl (5)', 'nz (4)', 'ni (1)', 'no (6)', 'pa (2)', 'py (1)', 'pe (1)', 'ph (2)', 'pl (3)', 'pt (4)', 'ro (1)', 'sg (3)', 'sk (4)', 'es (1)', 'se (4)', 'ch (4)', 'tw (14)', 'th (2)', 'tr (2)', 'uy (1)']"
12379,7uMh23xWiuR7zsNkuNcm2G,MNEK,273144.0,72,"['uk contemporary r&b', 'uk dance', 'uk pop']","['gb (3)', 'cz (1)', 'ee (1)', 'id (1)', 'ie (2)', 'lv (1)', 'lt (1)', 'my (1)', 'no (2)', 'ph (1)', 'sg (1)', 'sk (1)', 'se (4)', 'th (1)']"
140503,4mxWe1mtYIYfP040G38yvS,Alan Jackson,2077380.0,72,"['contemporary country', 'country', 'country road']",
17033,66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,3332277.0,72,"['contemporary country', 'country', 'country dawn']","['us (3)', 'ph (1)', 'tw (1)']"
14974,3FUY2gzHeIiaesXtOAdB7A,Train,4115397.0,72,"['dance pop', 'neo mellow', 'pop', 'pop rock']","['us (1)', 'gb (3)', 'au (3)', 'at (5)', 'be (2)', 'br (1)', 'bg (1)', 'ca (2)', 'cy (1)', 'cz (2)', 'dk (1)', 'ee (1)', 'fi (2)', 'de (3)', 'gr (2)', 'hu (2)', 'ie (3)', 'il (1)', 'it (2)', 'lv (2)', 'lt (2)', 'lu (1)', 'my (2)', 'mt (3)', 'nl (4)', 'nz (1)', 'no (1)', 'ph (2)', 'pl (2)', 'pt (2)', 'sg (3)', 'sk (2)', 'za (1)', 'ch (2)', 'tw (2)', 'tr (1)']"
3511,5B8ApeENp4bE4EE3LI8jK2,Yuridia,2939739.0,72,"['latin arena pop', 'latin pop', 'mexican pop', 'ranchera']","['cr (1)', 'mx (6)']"
7619,5QdEbQJ3ylBnc3gsIASAT5,G Herbo,1608240.0,72,"['chicago drill', 'chicago rap', 'drill', 'rap', 'southern hip hop', 'trap']","['us (3)', 'bg (1)', 'ca (1)', 'cy (1)', 'ee (1)', 'fi (1)', 'gr (2)', 'is (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'mt (1)', 'no (1)', 'ro (2)', 'za (1)', 'ae (1)']"
